order_id,order_date,customer_id,customer_name,city,state,category,product_name,quantity,unit_price,total_sales
1,2024-09-22,1012,Alice,Pune,Telangana,Electronics,Monitor,10,2632,26320
2,2024-11-21,1085,John,Chennai,Maharashtra,Furniture,Chair,6,22805,136830
3,2024-12-10,1028,Emma,Chennai,Telangana,Accessories,Webcam,8,34736,277888
4,2024-07-13,1033,Alice,Delhi,Delhi,Electronics,Keyboard,10,28976,289760
5,2024-12-07,1094,Emma,Chennai,Tamil Nadu,Accessories,Webcam,5,25500,127500
6,2024-09-30,1016,Olivia,Bangalore,Karnataka,Accessories,Webcam,4,40983,163932
7,2024-08-27,1079,Alice,Mumbai,Maharashtra,Electronics,Keyboard,10,17967,179670
8,2024-04-28,1065,William,Delhi,Delhi,Accessories,Headphones,3,30288,90864
9,2024-04-06,1040,William,Hyderabad,Maharashtra,Electronics,Keyboard,7,6723,47061
10,2024-05-03,1055,Michael,Chennai,Tamil Nadu,Electronics,Keyboard,1,37183,37183
11,2024-03-31,1068,Robert,Bangalore,Delhi,Electronics,Mouse,4,39496,157984
12,2025-02-11,1014,David,Chennai,Delhi,Furniture,Chair,8,20686,165488
13,2025-02-02,1054,John,Delhi,Tamil Nadu,Furniture,Desk,10,30462,304620
14,2024-01-26,1022,James,Bangalore,Telangana,Furniture,Desk,7,17072,119504
15,2024-05-31,1052,Sophia,Bangalore,Maharashtra,Accessories,Headphones,5,9047,45235
16,2025-04-17,1005,Robert,Pune,Maharashtra,Electronics,Laptop,4,13595,54380
17,2024-07-25,1094,Sophia,Mumbai,Tamil Nadu,Furniture,Table,5,46537,232685
18,2025-10-05,1063,Robert,Delhi,Delhi,Furniture,Desk,2,11645,23290
19,2025-08-10,1011,John,Delhi,Delhi,Furniture,Desk,9,5160,46440
20,2025-11-07,1045,James,Delhi,Delhi,Furniture,Table,2,27613,55226
21,2025-04-21,1064,Sophia,Delhi,Telangana,Furniture,Chair,5,23903,119515
22,2025-01-02,1096,David,Mumbai,Karnataka,Accessories,USB Cable,4,47484,189936
23,2025-05-22,1071,William,Mumbai,Maharashtra,Electronics,Keyboard,8,43102,344816
24,2025-10-16,1077,Sophia,Mumbai,Karnataka,Electronics,Monitor,1,32787,32787
25,2024-10-27,1053,James,Chennai,Delhi,Accessories,USB Cable,2,3608,7216
26,2025-01-31,1067,James,Bangalore,Telangana,Furniture,Desk,2,40269,80538
27,2024-08-22,1002,David,Bangalore,Telangana,Furniture,Table,2,4545,9090
28,2025-07-29,1097,Emma,Chennai,Telangana,Accessories,Webcam,4,35717,142868
29,2025-06-24,1029,Emma,Mumbai,Karnataka,Accessories,Webcam,4,43960,175840
30,2025-11-18,1100,Robert,Chennai,Tamil Nadu,Furniture,Chair,8,27235,217880
31,2025-03-28,1018,John,Bangalore,Maharashtra,Accessories,USB Cable,9,27447,247023
32,2024-01-08,1091,William,Delhi,Delhi,Furniture,Table,1,48092,48092
33,2024-08-13,1077,John,Bangalore,Karnataka,Electronics,Keyboard,9,19543,175887
34,2025-01-01,1038,William,Chennai,Telangana,Accessories,Webcam,1,29983,29983
35,2025-09-04,1029,David,Hyderabad,Maharashtra,Furniture,Table,1,30060,30060
36,2024-11-20,1046,Alice,Delhi,Telangana,Electronics,Mouse,6,9555,57330
37,2025-09-12,1068,Alice,Chennai,Delhi,Electronics,Monitor,5,48838,244190
38,2025-11-06,1093,Robert,Pune,Telangana,Accessories,Headphones,3,15119,45357
39,2025-04-05,1025,William,Delhi,Telangana,Electronics,Laptop,1,25685,25685
40,2025-07-22,1084,William,Delhi,Tamil Nadu,Accessories,Webcam,7,25132,175924
41,2025-12-19,1043,Olivia,Bangalore,Maharashtra,Furniture,Table,1,17777,17777
42,2024-02-19,1023,Alice,Chennai,Delhi,Furniture,Desk,8,16598,132784
43,2024-08-27,1058,James,Pune,Maharashtra,Accessories,USB Cable,3,6432,19296
44,2024-12-24,1077,Olivia,Hyderabad,Tamil Nadu,Electronics,Laptop,9,12526,112734
45,2025-02-22,1050,Robert,Hyderabad,Maharashtra,Furniture,Chair,5,43305,216525
46,2024-08-06,1059,Emma,Pune,Tamil Nadu,Furniture,Chair,8,12631,101048
47,2025-10-10,1051,Alice,Mumbai,Karnataka,Furniture,Chair,8,43770,350160
48,2025-05-19,1065,Robert,Chennai,Delhi,Accessories,Headphones,2,14179,28358
49,2025-03-07,1038,Emma,Bangalore,Delhi,Electronics,Laptop,7,19195,134365
50,2024-07-08,1081,William,Hyderabad,Maharashtra,Accessories,Headphones,1,13070,13070
51,2025-03-29,1047,Robert,Bangalore,Maharashtra,Accessories,Webcam,2,21093,42186
52,2024-01-16,1066,Olivia,Chennai,Delhi,Electronics,Mouse,5,4100,20500
53,2024-04-01,1078,John,Hyderabad,Delhi,Furniture,Desk,3,41752,125256
54,2025-09-08,1038,John,Chennai,Delhi,Furniture,Table,1,23174,23174
55,2025-05-28,1059,Sophia,Pune,Maharashtra,Electronics,Laptop,6,36728,220368
56,2025-12-19,1068,James,Bangalore,Tamil Nadu,Accessories,USB Cable,9,16422,147798
57,2024-06-29,1044,David,Bangalore,Tamil Nadu,Electronics,Keyboard,6,26038,156228
58,2024-12-02,1017,Alice,Chennai,Delhi,Electronics,Mouse,4,46007,184028
59,2025-09-17,1007,Michael,Hyderabad,Maharashtra,Electronics,Laptop,9,19076,171684
60,2024-03-30,1049,Michael,Mumbai,Tamil Nadu,Accessories,USB Cable,3,37623,112869
61,2025-07-14,1031,Michael,Hyderabad,Karnataka,Accessories,Headphones,10,39234,392340
62,2024-09-25,1077,Alice,Delhi,Maharashtra,Furniture,Chair,5,14913,74565
63,2025-02-22,1018,Olivia,Mumbai,Karnataka,Electronics,Keyboard,8,30081,240648
64,2024-01-25,1021,William,Delhi,Karnataka,Furniture,Table,7,37625,263375
65,2025-01-02,1064,William,Pune,Delhi,Electronics,Laptop,8,22123,176984
66,2025-08-09,1007,Sophia,Chennai,Karnataka,Accessories,USB Cable,8,14618,116944
67,2024-10-04,1079,Sophia,Bangalore,Telangana,Electronics,Laptop,6,19338,116028
68,2025-07-25,1078,James,Chennai,Karnataka,Accessories,Webcam,3,27169,81507
69,2024-10-24,1052,Sophia,Bangalore,Telangana,Electronics,Mouse,5,16216,81080
70,2024-11-24,1033,Emma,Delhi,Telangana,Furniture,Desk,7,16229,113603
71,2024-07-07,1085,William,Chennai,Maharashtra,Electronics,Laptop,4,45932,183728
